dataset;internal;official_en;official_no
oda;agreement_number;Agreement number;Avtalenummer
oda;project_number;Project number;Prosjektnummer
oda;responsible_unit;Responsible unit;Forvaltende enhet
oda;progr_officer;Progr Officer;Saksbehandler
oda;agreement_title;Agreement title;Avtaletittel
oda;agreement_partner;Agreement partner;Avtalepartner
oda;group_of_agreement_partner;Group of Agreement Partner;Avtalepartnergruppe
oda;group_of_agreement_partner_code;Group of Agreement Partner code;
oda;channel_code_id;Channel Code ID;
oda;teaching_research_institution;Teaching/research institution;
oda;impl_inst;Impl Inst;
oda;group_of_impl_inst;Group of Impl Inst;
oda;agreement_period;Agreement Period;
oda;agreement_signed;Agreement signed;
oda;agr_compl_date;Agr compl date;
oda;commited_1000_nok;Commited (1000 NOK);
oda;commited_1000;Commited (1000 $);
oda;commited_acc_1000_nok;CommitedAcc (1000 NOK);
oda;commited_acc_1000;CommitedAcc (1000 $);
oda;agreement_amount_1000_nok;Agreement amount (1000 NOK);
oda;agreement_amount_1000;Agreement amount (1000 $);
oda;description_of_agreement;Description of agreement;
oda;dac_main_sector_code;DAC Main sector (code);
oda;dac_main_sector_code_name;DAC Main sector (code+name);
oda;dac_sub_sector_code;DAC Sub sector (code);
oda;dac_sub_sector_code_name;DAC Sub sector (code+name);
oda;target_area;Target area;
oda;recipient_country;Recipient country;
oda;recipient_country_no;Recipient country NO;
oda;recipient_country_crs;Recipient country CRS;
oda;country_group_no;Country group NO;
oda;main_region;Main Region;
oda;form_of_assistance_code;Form of assistance (code);
oda;form_of_assistance;Form of assistance;
oda;type_of_assistance_code;Type of assistance (code);
oda;type_of_assistance;Type of assistance;
oda;agreement_phase_code;Agreement phase (code);
oda;agreement_phase;Agreement phase;
oda;type_of_flow;Type of Flow;
oda;type_of_agreement;Type of agreement;
oda;amount_tied_1000_nok;Amount tied (1000 NOK);
oda;pm_environment;PM - Environment;
oda;pm_climate_change_adaptation;PM - Climate change adaptation;
oda;pm_reproductive_maternal_newborn_and_child_health;PM - Reproductive, maternal, newborn and child health;
oda;pm_research_and_experimental_development;PM - Research and experimental development;
oda;pm_disaster_risk_reduction;PM - Disaster Risk Reduction;
oda;pm_inclusion_and_empowerment_of_persons_with_disabilities;PM - Inclusion and empowerment of persons with disabilities;
oda;pm_gender_equality;PM - Gender equality;
oda;pm_democracy_and_inclusive_governance;PM - Democracy and Inclusive Governance;
oda;pm_bio_diversity;PM - Bio-diversity;
oda;pm_desertification;PM - Desertification;
oda;pm_climate_change_mitigation;PM - Climate change mitigation;
oda;fa_covid_19;FA - Covid-19;
oda;fa_id_ps_and_host_communities;FA - IDPs and host communities;
oda;fa_oil_for_development;FA - Oil for Development;
oda;fa_refugee_return_and_reintegration;FA - Refugee return and reintegration;
oda;fa_refugees_and_host_communities;FA - Refugees and host communities;
oda;sdg_focus;SDG focus;
oda;sdg_main_target;SDG main target;
oda;sdg_description;SDG description;
oda;extending_agency;Extending agency;
oda;income_category;Income category;
oda;program_category_code;Program category (code);
oda;program_category_code_name;Program category (code+name);
oda;chapter_code;Chapter (code);
oda;chapter_code_name;Chapter (code+name);
oda;post_code;Post (code);
oda;post_code_name;Post (code+name);
oda;sub_post_code;Sub-post code;
oda;sub_post;Sub-post;
oda;year;Year;
oda;disbursed_nok;Disbursed (NOK);
oda;disbursed_1000_nok;Disbursed (1000 NOK);
oda;disbursed_mill_nok;Disbursed (mill NOK);
oda;disbursed_mrd_nok;Disbursed (mrd NOK);
oda;disbursed_1000;Disbursed (1000 $);
oda;disbursed_mill;Disbursed (mill $);
oda;index_disbursed_1000;Index- Disbursed (1000);
oda;amounts_extended_1000_nok;Amounts extended (1000 NOK);
oda;amounts_extended_1000_usd;Amounts extended (1000 USD);
oda;amounts_received_1000_nok;Amounts received (1000 NOK);
oda;amounts_received_1000_usd;Amounts received (1000 USD);
oda;planned_disbursed_1000_nok;Planned disbursed (1000 NOK);
oda;target_area_no;Target area NO;
oda;partner_group_visual_no;Partner group visual NO;
oda;partner_group_visual;Partner group visual;
